domain,goal,question,guess,answer,type,gameid
places,office,building,true,office,branching,"""3469-1"""
animals,golden retriever,pet,true,golden retriever,overlapping,"""3469-1"""
artifact,metal chair,seat,true,wooden chair,equivocal,"""3469-1"""
plants,carrots,carrots,true,carrots,overlapping,"""3469-1"""
artifact,wooden ruler,thing,true,wooden ruler,overlapping,"""3469-1"""
plants,sunflower,plant,true,dead flower,branching,"""3469-1"""
places,sunny beach,outdoor place,true,sunny beach,equivocal,"""3469-1"""
artifact,couch,couch,true,couch,branching,"""3469-1"""
animals,angler fish,fish,true,angler fish,equivocal,"""3469-1"""
plants,tomatos,food,false,burger,equivocal,"""3469-1"""
places,dive bar,bar,true,hotel lobby,overlapping,"""3469-1"""
animals,whale,animal,true,whale,branching,"""3469-1"""
animals,goldfish,fish,true,goldfish,equivocal,"""7461-2"""
artifact,table,furniture,true,table,branching,"""7461-2"""
plants,lettuce,leaves,true,oak,overlapping,"""7461-2"""
animals,golden retriever,pet,true,golden retriever,overlapping,"""7461-2"""
places,office,building,true,office,branching,"""7461-2"""
plants,sunflower,plant,true,sunflower,equivocal,"""7461-2"""
animals,siamese cat,dog,false,poodle,branching,"""7461-2"""
artifact,metal chair,seat,false,wooden chair,equivocal,"""7461-2"""
places,dive bar,bar,false,hotel lobby,overlapping,"""7461-2"""
artifact,iron skillet,skillet,true,iron skillet,overlapping,"""7461-2"""
plants,carrot,carrot,true,carrot,branching,"""7461-2"""
places,snowy forest,cold place,false,snowy mountain,equivocal,"""7461-2"""
places,ice hotel room,outdoor place,false,snowy mountain,equivocal,"""4644-e"""
artifact,chair,seat,true,chair,branching,"""4644-e"""
animals,siamese cat,pet,false,dalmatian,branching,"""4644-e"""
animals,goldfish,fish,true,betta fish,equivocal,"""4644-e"""
plants,sunflower,living plant,true,sunflower,branching,"""4644-e"""
plants,sunflower,plant,true,sunflower,equivocal,"""4644-e"""
artifact,wooden chair,seat,true,metal chair,overlapping,"""4644-e"""
places,mansion,mansion,true,mansion,branching,"""4644-e"""
plants,oak,leaves,true,oak,overlapping,"""4644-e"""
places,diner,diner,true,diner,overlapping,"""4644-e"""
artifact,metal chair,metal thing,false,iron skillet,equivocal,"""4644-e"""
animals,golden retriever,pet,true,golden retriever,overlapping,"""4644-e"""
plants,tomatos,food,true,tomatos,branching,"""9924-8"""
artifact,iron skillet,metal thing,true,iron skillet,equivocal,"""9924-8"""
animals,whale,animal,true,whale,overlapping,"""9924-8"""
plants,flower,plant,true,flower,overlapping,"""9924-8"""
animals,whale,animal,true,whale,branching,"""9924-8"""
places,cottage,house,true,cottage,branching,"""9924-8"""
artifact,iron skillet,skillet,true,iron skillet,overlapping,"""9924-8"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""9924-8"""
places,park,place,true,park,overlapping,"""9924-8"""
places,snowy mountain,cold place,true,ice hotel room,equivocal,"""9924-8"""
artifact,couch,couch,true,couch,branching,"""9924-8"""
plants,burger,food,true,burger,equivocal,"""9924-8"""
plants,dead flower,living plant,false,sunflower,branching,"""6431-5"""
plants,sunflower,plant,true,sunflower,equivocal,"""6431-5"""
places,sunny beach,outdoor place,true,sunny beach,equivocal,"""6431-5"""
places,cottage,house,true,cottage,branching,"""6431-5"""
artifact,table,furniture,true,table,branching,"""6431-5"""
animals,siamese cat,pet,true,siamese cat,branching,"""6431-5"""
artifact,metal chair,metal thing,false,wooden ruler,overlapping,"""6431-5"""
animals,lion,lion,true,lion,overlapping,"""6431-5"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""6431-5"""
places,park,place,true,park,overlapping,"""6431-5"""
artifact,metal chair,metal thing,false,iron skillet,equivocal,"""6431-5"""
plants,flower,plant,true,flower,overlapping,"""6431-5"""
animals,siamese cat,dog,true,dalmatian,branching,"""9007-4"""
places,snowy forest,cold place,true,snowy mountain,equivocal,"""9007-4"""
places,hotel lobby,bar,true,hotel lobby,overlapping,"""9007-4"""
artifact,metal chair,seat,true,wooden chair,overlapping,"""9007-4"""
animals,lion,lion,true,lion,overlapping,"""9007-4"""
plants,lettuce,food,false,oak,overlapping,"""9007-4"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""9007-4"""
artifact,iron skillet,metal thing,true,iron skillet,equivocal,"""9007-4"""
artifact,table,furniture,true,table,branching,"""9007-4"""
plants,carrot,food,false,burger,equivocal,"""9007-4"""
plants,dead flower,plant,true,dead flower,branching,"""9007-4"""
places,park,place,true,park,branching,"""9007-4"""
artifact,wooden chair,seat,true,metal chair,equivocal,"""7503-b"""
plants,sunflower,living plant,false,tomatos,branching,"""7503-b"""
animals,whale,animal,true,whale,branching,"""7503-b"""
plants,lettuce,food,false,carrots,overlapping,"""7503-b"""
animals,lion,lion,true,lion,overlapping,"""7503-b"""
places,dive bar,bar,false,hotel lobby,overlapping,"""7503-b"""
artifact,lawnmower,thing,true,lawnmower,branching,"""7503-b"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""7503-b"""
plants,carrot,plant,false,sunflower,equivocal,"""7503-b"""
artifact,wooden chair,seat,true,wooden chair,overlapping,"""7503-b"""
places,park,place,true,park,branching,"""7503-b"""
places,sunny beach,outdoor place,true,sunny beach,equivocal,"""7503-b"""
places,park,place,true,park,overlapping,"""3663-6"""
places,office,building,true,office,branching,"""3663-6"""
plants,carrots,carrots,true,carrots,overlapping,"""3663-6"""
places,snowy mountain,cold place,true,ice hotel room,equivocal,"""3663-6"""
plants,burger,food,true,tomatos,equivocal,"""3663-6"""
artifact,couch,couch,true,couch,branching,"""3663-6"""
animals,lion,lion,true,lion,overlapping,"""3663-6"""
artifact,iron skillet,skillet,false,wooden ruler,overlapping,"""3663-6"""
artifact,metal stool,seat,false,wooden chair,equivocal,"""3663-6"""
animals,angler fish,fish,false,goldfish,equivocal,"""3663-6"""
animals,siamese cat,pet,true,siamese cat,branching,"""3663-6"""
plants,sunflower,living plant,false,tomatos,branching,"""3663-6"""
artifact,metal chair,metal thing,true,metal chair,equivocal,"""7589-f"""
plants,carrot,plant,true,sunflower,equivocal,"""7589-f"""
artifact,metal chair,metal thing,true,metal chair,overlapping,"""7589-f"""
artifact,chair,seat,true,chair,branching,"""7589-f"""
places,snowy mountain,cold place,true,snowy mountain,equivocal,"""7589-f"""
plants,oak,leaves,true,oak,overlapping,"""7589-f"""
animals,angler fish,fish,true,angler fish,equivocal,"""7589-f"""
places,diner,diner,true,diner,overlapping,"""7589-f"""
animals,whale,animal,true,whale,overlapping,"""7589-f"""
places,office,building,true,office,branching,"""7589-f"""
animals,dalmatian,dalmatian,true,dalmatian,branching,"""7589-f"""
plants,dead flower,plant,true,dead flower,branching,"""7589-f"""
animals,angler fish,fish,false,goldfish,equivocal,"""1956-0"""
artifact,chair,seat,true,chair,branching,"""1956-0"""
artifact,wooden chair,seat,true,wooden chair,overlapping,"""1956-0"""
places,park,place,true,park,overlapping,"""1956-0"""
animals,siamese cat,pet,true,siamese cat,branching,"""1956-0"""
artifact,metal chair,seat,false,wooden chair,equivocal,"""1956-0"""
plants,carrots,carrots,true,carrots,overlapping,"""1956-0"""
places,mansion,mansion,true,mansion,branching,"""1956-0"""
plants,carrot,plant,false,sunflower,equivocal,"""1956-0"""
animals,whale,animal,true,whale,overlapping,"""1956-0"""
places,snowy forest,outdoor place,false,sunny beach,equivocal,"""1956-0"""
plants,carrot,carrot,true,carrot,branching,"""1956-0"""
animals,goldfish,fish,true,goldfish,equivocal,"""6590-a"""
places,hotel lobby,restaurant,false,diner,overlapping,"""6590-a"""
plants,flower,plant,true,flower,overlapping,"""6590-a"""
animals,lion,lion,true,lion,overlapping,"""6590-a"""
artifact,wooden ruler,thing,true,wooden ruler,overlapping,"""6590-a"""
places,mansion,mansion,true,mansion,branching,"""6590-a"""
plants,carrot,food,true,burger,equivocal,"""6590-a"""
artifact,iron skillet,metal thing,false,metal stool,equivocal,"""6590-a"""
places,snowy mountain,cold place,false,snowy forest,equivocal,"""6590-a"""
artifact,chair,seat,true,chair,branching,"""6590-a"""
animals,siamese cat,pet,true,siamese cat,branching,"""6590-a"""
plants,dead flower,plant,true,dead flower,branching,"""6590-a"""
places,hotel lobby,bar,true,hotel lobby,overlapping,"""1373-5"""
places,ice hotel room,cold place,false,snowy forest,equivocal,"""1373-5"""
plants,tomatos,plant,false,sunflower,equivocal,"""1373-5"""
artifact,metal stool,seat,false,wooden chair,equivocal,"""1373-5"""
animals,siamese cat,pet,true,siamese cat,branching,"""1373-5"""
places,mansion,mansion,true,mansion,branching,"""1373-5"""
animals,lion,lion,true,lion,overlapping,"""1373-5"""
animals,angler fish,fish,true,angler fish,equivocal,"""1373-5"""
artifact,wooden ruler,thing,true,wooden ruler,overlapping,"""1373-5"""
plants,flower,plant,true,flower,overlapping,"""1373-5"""
artifact,lawnmower,thing,true,lawnmower,branching,"""1373-5"""
plants,tomatos,living plant,true,sunflower,branching,"""1373-5"""
places,park,place,true,park,branching,"""7715-e"""
animals,poodle,pet,false,siamese cat,branching,"""7715-e"""
places,diner,diner,true,diner,overlapping,"""7715-e"""
artifact,wooden chair,seat,true,wooden chair,overlapping,"""7715-e"""
places,snowy forest,cold place,true,ice hotel room,equivocal,"""7715-e"""
animals,angler fish,fish,true,angler fish,equivocal,"""7715-e"""
plants,dead flower,plant,true,dead flower,branching,"""7715-e"""
animals,house cat,cat,true,house cat,overlapping,"""7715-e"""
artifact,lawnmower,thing,true,lawnmower,branching,"""7715-e"""
artifact,wooden chair,seat,true,wooden chair,equivocal,"""7715-e"""
plants,flower,plant,true,flower,overlapping,"""7715-e"""
plants,carrot,plant,false,sunflower,equivocal,"""7715-e"""
artifact,couch,couch,true,couch,branching,"""9711-7"""
animals,poodle,dog,true,poodle,branching,"""9711-7"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""9711-7"""
artifact,iron skillet,metal thing,true,iron skillet,equivocal,"""9711-7"""
plants,tomatos,food,true,tomatos,branching,"""9711-7"""
plants,tomatos,food,false,burger,equivocal,"""9711-7"""
animals,whale,animal,true,whale,overlapping,"""9711-7"""
places,snowy forest,outdoor place,true,sunny beach,equivocal,"""9711-7"""
plants,oak,leaves,true,oak,overlapping,"""9711-7"""
artifact,metal chair,seat,true,wooden chair,overlapping,"""9711-7"""
places,park,place,true,park,overlapping,"""9711-7"""
places,office,building,true,office,branching,"""9711-7"""
plants,tomatos,living plant,true,tomatos,branching,"""5305-5"""
artifact,metal chair,seat,true,metal chair,equivocal,"""5305-5"""
places,ice hotel room,cold place,false,snowy forest,equivocal,"""5305-5"""
artifact,table,furniture,true,couch,branching,"""5305-5"""
plants,carrots,carrots,true,carrots,overlapping,"""5305-5"""
plants,tomatos,plant,true,tomatos,equivocal,"""5305-5"""
animals,siamese cat,pet,false,dalmatian,branching,"""5305-5"""
artifact,wooden ruler,thing,true,wooden ruler,overlapping,"""5305-5"""
places,office,building,true,office,branching,"""5305-5"""
places,park,place,true,park,overlapping,"""5305-5"""
animals,whale,animal,true,whale,overlapping,"""5305-5"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""5305-5"""
animals,siamese cat,pet,true,siamese cat,branching,"""8639-d"""
plants,burger,food,true,burger,equivocal,"""8639-d"""
artifact,couch,couch,true,couch,branching,"""8639-d"""
artifact,metal chair,metal thing,true,metal chair,overlapping,"""8639-d"""
plants,carrots,carrots,true,carrots,overlapping,"""8639-d"""
animals,angler fish,fish,true,angler fish,equivocal,"""8639-d"""
animals,house cat,cat,true,house cat,overlapping,"""8639-d"""
plants,dead flower,plant,true,dead flower,branching,"""8639-d"""
artifact,metal stool,metal thing,true,iron skillet,equivocal,"""8639-d"""
places,office,building,true,office,branching,"""8639-d"""
places,diner,diner,true,diner,overlapping,"""8639-d"""
places,ice hotel room,cold place,true,ice hotel room,equivocal,"""8639-d"""
places,dive bar,bar,false,hotel lobby,overlapping,"""6247-3"""
places,cottage,house,true,cottage,branching,"""6247-3"""
artifact,lawnmower,thing,true,lawnmower,branching,"""6247-3"""
plants,carrot,plant,false,sunflower,equivocal,"""6247-3"""
plants,oak,leaves,true,oak,overlapping,"""6247-3"""
animals,dalmatian,pet,false,goldfish,equivocal,"""6247-3"""
artifact,iron skillet,metal thing,true,iron skillet,equivocal,"""6247-3"""
animals,siamese cat,pet,true,siamese cat,branching,"""6247-3"""
plants,sunflower,living plant,true,sunflower,branching,"""6247-3"""
animals,lion,lion,true,lion,overlapping,"""6247-3"""
places,ice hotel room,cold place,true,snowy forest,equivocal,"""6247-3"""
artifact,wooden ruler,thing,true,wooden ruler,overlapping,"""6247-3"""
places,cottage,building,false,office,branching,"""3058-f"""
plants,carrots,carrots,true,carrots,overlapping,"""3058-f"""
artifact,table,furniture,true,table,branching,"""3058-f"""
artifact,metal chair,metal thing,false,iron skillet,equivocal,"""3058-f"""
plants,sunflower,living plant,false,dead flower,branching,"""3058-f"""
plants,carrot,food,false,burger,equivocal,"""3058-f"""
places,snowy forest,cold place,true,ice hotel room,equivocal,"""3058-f"""
artifact,wooden ruler,thing,true,wooden ruler,overlapping,"""3058-f"""
animals,angler fish,fish,true,angler fish,equivocal,"""3058-f"""
places,diner,diner,true,diner,overlapping,"""3058-f"""
animals,poodle,dog,true,poodle,branching,"""3058-f"""
animals,whale,animal,true,whale,overlapping,"""3058-f"""
animals,lion,lion,true,lion,overlapping,"""0899-a"""
animals,betta fish,fish,false,betta fish,equivocal,"""0899-a"""
places,sunny beach,outdoor place,true,sunny beach,equivocal,"""0899-a"""
plants,lettuce,leaves,false,oak,overlapping,"""0899-a"""
plants,tomatos,living plant,true,tomatos,branching,"""0899-a"""
artifact,iron skillet,metal thing,true,iron skillet,equivocal,"""0899-a"""
plants,carrot,food,false,burger,equivocal,"""0899-a"""
places,diner,diner,true,diner,overlapping,"""0899-a"""
animals,dalmatian,dalmatian,true,dalmatian,branching,"""0899-a"""
places,park,place,true,park,branching,"""0899-a"""
artifact,wooden chair,seat,true,wooden chair,overlapping,"""0899-a"""
artifact,table,furniture,true,table,branching,"""0899-a"""
artifact,wooden chair,seat,true,wooden chair,equivocal,"""1631-1"""
artifact,iron skillet,skillet,true,iron skillet,overlapping,"""1631-1"""
places,park,place,true,park,overlapping,"""1631-1"""
artifact,chair,seat,true,couch,branching,"""1631-1"""
places,snowy forest,cold place,false,snowy mountain,equivocal,"""1631-1"""
places,office,building,true,office,branching,"""1631-1"""
animals,whale,animal,true,whale,overlapping,"""1631-1"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""1631-1"""
plants,tomatos,food,true,tomatos,branching,"""1631-1"""
animals,dalmatian,dalmatian,true,dalmatian,branching,"""1631-1"""
plants,sunflower,plant,true,sunflower,equivocal,"""1631-1"""
plants,oak,leaves,true,oak,overlapping,"""1631-1"""
animals,dalmatian,pet,true,dalmatian,equivocal,"""9870-9"""
artifact,table,furniture,true,table,branching,"""9870-9"""
animals,lion,lion,true,lion,overlapping,"""9870-9"""
places,cottage,house,true,cottage,branching,"""9870-9"""
plants,flower,plant,true,lettuce,overlapping,"""9870-9"""
plants,tomatos,food,true,tomatos,branching,"""9870-9"""
animals,siamese cat,pet,true,siamese cat,branching,"""9870-9"""
places,ice hotel room,cold place,false,snowy forest,equivocal,"""9870-9"""
plants,sunflower,plant,true,sunflower,equivocal,"""9870-9"""
artifact,metal chair,metal thing,false,iron skillet,equivocal,"""9870-9"""
places,park,place,true,park,overlapping,"""9870-9"""
artifact,wooden chair,seat,true,wooden chair,overlapping,"""9870-9"""
animals,poodle,dog,true,poodle,branching,"""3874-a"""
artifact,metal chair,metal thing,true,metal chair,overlapping,"""3874-a"""
animals,betta fish,fish,true,angler fish,equivocal,"""3874-a"""
places,ice hotel room,cold place,true,snowy forest,equivocal,"""3874-a"""
plants,oak,leaves,true,oak,overlapping,"""3874-a"""
plants,carrot,carrot,true,carrot,branching,"""3874-a"""
artifact,chair,seat,true,chair,branching,"""3874-a"""
artifact,metal stool,seat,false,wooden chair,equivocal,"""3874-a"""
animals,house cat,cat,true,house cat,overlapping,"""3874-a"""
plants,sunflower,plant,true,sunflower,equivocal,"""3874-a"""
places,park,place,true,park,overlapping,"""3874-a"""
places,office,building,true,office,branching,"""3874-a"""
places,snowy forest,cold place,true,snowy forest,equivocal,"""2935-e"""
plants,lettuce,leaves,true,oak,overlapping,"""2935-e"""
animals,betta fish,fish,false,angler fish,equivocal,"""2935-e"""
places,cottage,house,true,cottage,branching,"""2935-e"""
artifact,metal chair,seat,true,metal chair,equivocal,"""2935-e"""
places,diner,diner,true,diner,overlapping,"""2935-e"""
artifact,wooden ruler,thing,true,iron skillet,overlapping,"""2935-e"""
animals,poodle,pet,true,siamese cat,branching,"""2935-e"""
plants,sunflower,plant,true,sunflower,equivocal,"""2935-e"""
plants,dead flower,plant,true,dead flower,branching,"""2935-e"""
animals,house cat,cat,true,lion,overlapping,"""2935-e"""
artifact,lawnmower,thing,true,lawnmower,branching,"""2935-e"""
animals,golden retriever,pet,true,golden retriever,overlapping,"""4197-2"""
plants,tomatos,food,true,carrot,branching,"""4197-2"""
animals,siamese cat,pet,false,dalmatian,branching,"""4197-2"""
places,ice hotel room,cold place,false,snowy forest,equivocal,"""4197-2"""
artifact,wooden chair,seat,true,wooden chair,equivocal,"""4197-2"""
places,hotel lobby,bar,true,hotel lobby,overlapping,"""4197-2"""
places,mansion,mansion,true,mansion,branching,"""4197-2"""
animals,goldfish,fish,false,angler fish,equivocal,"""4197-2"""
plants,carrot,food,false,burger,equivocal,"""4197-2"""
artifact,chair,seat,true,chair,branching,"""4197-2"""
plants,carrots,carrots,true,carrots,overlapping,"""4197-2"""
artifact,iron skillet,skillet,true,iron skillet,overlapping,"""4197-2"""
artifact,iron skillet,skillet,true,iron skillet,overlapping,"""8457-8"""
places,snowy forest,cold place,true,snowy forest,equivocal,"""8457-8"""
plants,burger,food,true,burger,equivocal,"""8457-8"""
animals,goldfish,fish,false,angler fish,equivocal,"""8457-8"""
plants,carrot,carrot,true,carrot,branching,"""8457-8"""
animals,dalmatian,dalmatian,true,dalmatian,branching,"""8457-8"""
places,dive bar,bar,true,dive bar,overlapping,"""8457-8"""
