workerid,OS,screenH,screenW,Browser
0,Windows,768,1366,Chrome
1,Windows,1200,1920,Chrome
2,Windows,768,1366,Chrome
3,Linux,768,1366,Chrome
4,Windows,1080,1920,Chrome
5,Windows,720,1280,Chrome
6,Windows,1080,1920,Chrome
7,Linux,768,1366,Chrome
8,Windows,768,1366,Chrome
9,Windows,768,1366,Chrome
10,Windows,768,1366,Chrome
11,Mac,900,1440,Chrome
12,Windows,1080,1920,Chrome
13,Windows,1200,1920,Chrome
14,Mac,1000,1600,Chrome
15,Windows,900,1600,Chrome
16,Windows,1080,1920,Chrome
17,Windows,768,1366,Chrome
18,Mac,800,1280,Safari
19,Windows,1080,1920,Chrome
20,Windows,1080,1920,Chrome
21,Windows,1080,1920,Chrome
22,an unknown OS,720,1280,Mozilla
23,Windows,900,1600,Chrome
24,Windows,1050,1680,Chrome
25,Windows,1080,1920,Chrome
26,Linux,768,1366,Chrome
27,Mac,900,1440,Chrome
28,Windows,1080,1920,Chrome
29,Windows,800,1280,Chrome
30,Windows,1024,1280,Chrome
31,Windows,768,1366,Chrome
32,Windows,900,1600,Chrome
33,Windows,1080,1920,Chrome
34,Windows,900,1440,Chrome
35,Windows,768,1366,Chrome
36,Windows,768,1366,Chrome
37,iPhone/iPod,568,320,Safari
38,Linux,640,360,Chrome
39,Mac,800,1280,Chrome
40,Windows,1050,1680,Chrome
41,Windows,1050,1680,Chrome
42,Windows,768,1366,Chrome
43,Windows,768,1366,Chrome
44,Windows,900,1440,Chrome
45,Windows,800,1280,Chrome
46,Windows,1200,1920,Chrome
47,Windows,1050,1680,Chrome
48,Windows,900,1600,Chrome
49,Windows,1024,1280,Chrome
50,Mac,900,1440,Chrome
51,Windows,1080,1920,Chrome
52,Windows,768,1366,Chrome
53,Windows,768,1366,Chrome
54,Windows,900,1440,Chrome
55,Mac,1080,1920,Safari
56,Windows,768,1366,Chrome
57,Windows,1024,1280,Chrome
58,Windows,900,1600,Chrome
59,Windows,1080,1920,Chrome
60,Windows,768,1366,Chrome
61,Windows,768,1366,Chrome
62,Windows,1024,1280,Chrome
63,Windows,900,1600,Chrome
64,Windows,768,1366,Chrome
65,Windows,768,1366,Chrome
66,Mac,800,1280,Chrome
67,Windows,1080,1920,Chrome
68,Windows,768,1366,Chrome
69,Windows,1080,1920,Chrome
70,Windows,1080,1920,Chrome
71,Windows,1080,1920,Chrome
72,Windows,1080,1920,Chrome
73,Windows,768,1024,Chrome
74,Windows,900,1440,Chrome
75,Windows,1080,1920,Chrome
76,Linux,904,600,Chrome
77,Mac,800,1280,Chrome
78,Windows,900,1600,Chrome
79,Mac,900,1440,Chrome
80,Windows,1050,1680,Chrome
81,Windows,900,1600,Chrome
82,Mac,768,1366,Chrome
83,Windows,768,1024,Chrome
84,Windows,768,1366,Chrome
85,Mac,800,1280,Chrome
86,Windows,1080,1920,Chrome
87,Windows,1080,1920,Chrome
88,Windows,1050,1680,Chrome
89,Windows,1080,1920,Chrome
90,Windows,1080,1920,Chrome
91,Windows,768,1366,Chrome
92,Windows,1080,1920,Chrome
93,Windows,768,1366,Chrome
94,iPhone/iPod,667,375,Safari
95,Windows,768,1366,Chrome
96,Mac,900,1440,Chrome
97,Windows,1024,1280,Chrome
98,Mac,800,1280,Chrome
99,Windows,800,1280,Chrome
100,Windows,768,1366,Chrome
101,Windows,768,1366,Chrome
102,Windows,1080,1920,Chrome
103,Windows,1080,1920,Chrome
104,Windows,1050,1680,Chrome
105,Windows,768,1366,Chrome
106,Windows,768,1366,Chrome
107,Windows,1080,1920,Chrome
108,Windows,1080,1920,Chrome
109,Windows,2160,3840,Chrome
110,Windows,900,1440,Chrome
111,Mac,1080,1920,Chrome
112,Windows,900,1600,Chrome
113,Mac,640,1024,Chrome
114,Windows,900,1600,Chrome
115,Windows,1440,2560,Chrome
116,Windows,768,1366,Chrome
117,Windows,1050,1680,Chrome
118,Windows,900,1600,Chrome
119,Windows,1080,1920,Chrome
120,Windows,768,1366,Chrome
121,Windows,768,1366,Chrome
122,Mac,900,1440,Chrome
123,Windows,720,1280,Chrome
124,Mac,800,1280,Chrome
125,Mac,800,1280,Chrome
126,Windows,1080,1920,Chrome
127,Windows,768,1366,Chrome
128,Windows,768,1366,Chrome
129,Mac,800,1280,Chrome
130,Windows,1024,1280,Chrome
131,Windows,1200,1920,Chrome
132,Mac,800,1280,Chrome
133,Windows,900,1600,Chrome
134,Linux,552,1024,Chrome
135,Windows,1080,1920,Chrome
136,Mac,800,1280,Chrome
137,Windows,768,1366,Chrome
138,Windows,1080,1920,Chrome
139,Windows,1024,1280,Chrome
140,Windows,1080,1920,Chrome
141,Linux,768,1366,Chrome
142,Mac,800,1280,Chrome
143,iPhone/iPod,667,375,Safari
144,Windows,900,1440,Chrome
145,Windows,768,1024,Chrome
146,Mac,800,1280,Safari
147,Windows,800,1280,Chrome
148,Windows,1080,1920,Chrome
149,Windows,1050,1680,Chrome
150,Windows,768,1366,Chrome
151,Mac,900,1440,Chrome
152,Windows,1080,1920,Chrome
153,Windows,768,1366,Chrome
154,Windows,768,1366,Chrome
155,Windows,1080,1920,Chrome
156,Windows,900,1440,Chrome
157,Windows,900,1600,Chrome
158,Mac,800,1280,Chrome
159,Windows,900,1600,Chrome
160,Mac,900,1440,Safari
161,Windows,768,1366,Chrome
162,Windows,1440,2560,Chrome
163,Windows,900,1440,Chrome
164,Windows,1200,1920,Chrome
165,Windows,1080,1920,Chrome
166,Mac,800,1280,Chrome
167,Windows,1080,1920,Chrome
168,Mac,900,1440,Safari
169,Linux,640,360,Chrome
170,Windows,720,1280,Chrome
171,Windows,768,1366,Chrome
172,Mac,800,1280,Safari
173,Windows,768,1366,Chrome
174,Windows,768,1366,Chrome
175,Windows,1080,1920,Chrome
176,Mac,800,1280,Chrome
177,Windows,900,1440,Chrome
178,Linux,768,1366,Chrome
179,Windows,1080,1920,Chrome
180,Mac,800,1280,Chrome
181,Windows,1080,1920,Chrome
182,Windows,720,1280,Chrome
183,Windows,1080,1920,Chrome
184,Windows,900,1440,Chrome
185,Windows,1080,1920,Chrome
186,Windows,900,1600,Chrome
187,Mac,900,1440,Chrome
188,Mac,1080,1920,Chrome
189,Windows,1080,1920,Chrome
190,Windows,1080,1920,Chrome
191,Windows,1080,1920,Chrome
